sl,state,district,female_literacy,agricultural_labour,wealth,mpce,poverty_head_ratio,poverty_gap_ratio,Squared_poverty_gap,gini,Log_mean_deviation,theil_index,rank_dist_phc_ratio,sort_ght,bmi_less,percent_ of_ poor,total_population,total_poor_population,rice,per_capita_rice,Jowar,per_capita_jowar,bajra,per_capita_bajra,maize,per_capita_maize,ragi,per_capita_ragi,wheat,per_capita_wheat,Other_cereals_and_millets,per_capita_other_cereal_millet,total_cereals_and_millets,per_capita_total_cereals_millets,bmi_1849_lessthan185,urban,stunted_5,Wasted_5,Underweight_5,Open_defecation ,Low_birth_weight
235,Karnataka,Uttara Kannada,78.39,13.72,35.58,1621,15.97,2.82,0.72,0.22,0.08,0.12,128,11.5,30.2,25.9,1437169,372227,65461,0.1759,0,0,0,0,5006,0.0134,0,0,0,0,0,0,70467,0.1893,36.1,0,38,18.2,30.1,0.2278,0.1737
392,Delhi,North West,78.41,0.95,58.36,3241,19.67,4.49,1.49,0.36,0.21,0.3,184,20.3,14.4,2.6,3656539,95070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,18.2,0,0.0463,0.3534
76,Bihar,Saran,54.42,44.96,31.53,1065,51.56,12.07,4.28,0.23,0.09,0.1,508,20.2,22.6,73.5,3951862,2904619,76452,0.0263,0,0,0,0,24991,0.0086,299,0.0001,89817,0.0309,25,0,191584,0.066,24.3,0,45.7,18.1,40.4,0.6879,0.1592
13,Andhra Pradesh,Y.S.R.,56.77,26.38,24.57,2065,18.27,3.33,1.05,0.35,0.21,0.82,160,7.5,19.8,15,2882469,432370,50329,0.1164,7051,0.0163,5890,0.0136,2745,0.0063,155,0.0004,1,0,1849,0.0043,68020,0.1573,22,13.1,35.6,18.1,0,0.2952,0.1675
164,Haryana,Rewari,69.57,7.63,42.09,2444,10.24,2.04,0.6,0.32,0.16,0.24,60,7.4,21.2,12.4,900332,111641,2238,0.02,437,0.0039,61817,0.5537,0,0,0,0,50911,0.456,0,0,115404,1.0337,22.6,0,27.7,18.1,23,0.1285,0.3115
436,Punjab,Kapurthala,74.63,12.89,59.34,2442,12.6,2.22,0.59,0.33,0.17,0.3,79,3.7,9.2,5.6,815168,45649,118158,2.5884,0,0,0,0,9367,0.2052,0,0,106205,2.3265,0,0,233735,5.1202,10.1,10.9,21.6,18.1,20.5,0.0718,0.1196
592,Uttar Pradesh,Chandauli,60.35,34.95,35.17,1195,46.33,10.04,3,0.3,0.15,0.38,454,21.1,25.1,59.9,1952756,1169701,115208,0.0985,783,0.0007,4867,0.0042,14,0,10,0,99927,0.0854,79,0.0001,220888,0.1888,27.4,0,43.4,18,34.8,0.6544,0.1633
50,Assam,Karimganj,72.09,15.71,12.29,880,79.18,19.83,7.01,0.19,0.06,0.07,618,20.1,29.2,61.6,1228686,756871,76711,0.1014,0,0,0,0,29,0,0,0,6,0,2,0,76748,0.1014,31.9,0,42.2,18,35.6,0.0315,0.1403
165,Haryana,Gurgaon,74.85,12.42,52.35,2046,13.65,2.26,0.6,0.26,0.11,0.13,87,10.8,10.8,9.1,1514432,137813,5354,0.0388,515,0.0037,32380,0.235,16,0.0001,0,0,50237,0.3645,0,0,88503,0.6422,17.1,11,40.9,18,30.6,0.0669,0.2818
408,Odisha,Baleshwar,72.28,34.98,26.24,1082,47.53,10.31,3.07,0.27,0.12,0.18,467,14.4,29.9,68.1,2320529,1580280,221841,0.1404,0,0,0,0,4,0,0,0,0,0,0,0,221845,0.1404,26.6,0,33.5,18,33.7,0.4808,0.2231
441,Punjab,Ludhiana,77.88,6.86,59.36,2297,17.48,4.16,1.4,0.29,0.14,0.21,154,1.6,9.3,3.1,3498739,108461,258655,2.3848,0,0,0,0,7611,0.0702,0,0,249923,2.3043,0,0,516194,4.7593,10.2,8.6,31.9,18,28.5,0.0078,0.1854
177,Himachal Pradesh,Solan,76.97,2.78,42.48,1893,19.39,2.59,0.55,0.32,0.16,0.23,175,5.5,13.9,8.2,580320,47586,3860,0.0811,0,0,0,0,19720,0.4144,51,0.0011,23176,0.487,0,0,46808,0.9836,16.9,0,28.3,18,29.4,0.1447,0.2308
453,Punjab,Shahid Bhagat Singh Nagar,73.93,9.81,56.74,2076,12.71,2.87,0.99,0.29,0.14,0.29,81,2.7,13.5,5.9,1655169,97655,31145,0.3189,0,0,379,0.0039,5600,0.0573,0,0,50491,0.517,0,0,87616,0.8972,0,0,26.9,18,0,0.0534,0.2243
247,Karnataka,Dakshina Kannada,84.13,2.34,43.13,2925,6.92,1.27,0.33,0.44,0.32,0.89,26,5.3,22.8,11.9,2089649,248668,39296,0.158,0,0,0,0,0,0,0,0,0,0,0,0,39296,0.158,29.4,29.5,22.5,18,21.7,0.0324,0.1661
61,Bihar,Purba Champaran,45.12,53.33,27.51,983,55.63,14.73,5.31,0.23,0.09,0.11,537,15.8,28.3,83.4,5099371,4252875,185066,0.0435,0,0,0,0,46682,0.011,0,0,118626,0.0279,0,0,350374,0.0824,29.6,0,47.8,17.9,40.8,0.7188,0.1497
16,Andhra Pradesh,Chittoor,63.28,23.93,26.96,1777,21.36,3.65,0.87,0.31,0.16,0.39,206,10.7,20.5,21.1,4174064,880728,46700,0.053,38,0,2245,0.0025,2031,0.0023,5058,0.0057,0,0,154,0.0002,56226,0.0638,23.6,0,31.6,17.9,32.4,0.5098,0.128
73,Bihar,Muzaffarpur,54.67,45.31,27.32,1021,58.7,14.41,4.59,0.24,0.09,0.13,559,17.3,36.1,73.4,4801062,3523980,124092,0.0352,0,0,0,0,31381,0.0089,22,0,92181,0.0262,5,0,247681,0.0703,33.7,0,48.5,17.7,42.3,0.6314,0.1994
293,Madhya Pradesh,Indore,74.02,10.2,53.88,2492,12.66,2.77,0.81,0.3,0.15,0.21,80,6.5,20,9.3,3276697,304733,1,0,95,0.0003,0,0,5793,0.019,0,0,120565,0.3956,0,0,126454,0.415,17.7,0,39.3,17.7,30.6,0.0968,0.2034
437,Punjab,Jalandhar,78.48,7.4,61.83,2559,13.66,2.24,0.62,0.33,0.17,0.26,88,4,8.6,1.6,2193590,35097,170265,4.8512,0,0,0,0,7082,0.2018,0,0,166425,4.7418,0,0,343782,9.7951,8.8,6.2,31.8,17.7,25.4,0.0332,0.1159
185,Jammu and Kashmir,Punch,53.19,18.97,15.48,1758,9.22,1.72,0.33,0.22,0.08,0.18,48,5,11.2,42.1,476835,200748,2859,0.0142,0,0,0,0,24201,0.1206,0,0,14956,0.0745,0,0,42016,0.2093,14.9,0,27.7,17.7,22.2,0.3843,0.191
549,Uttar Pradesh,Kheri,50.42,31.19,26.09,1167,42.75,8.85,2.8,0.24,0.09,0.12,425,19,32.5,80.2,4021243,3225037,159925,0.0496,158,0,128,0,6006,0.0019,0,0,175847,0.0545,0,0,342064,0.1061,35.7,0,54.5,17.6,40.8,0.6962,0.2759
398,Delhi,West,82.39,0.43,64.74,3023,18.86,4.15,1.34,0.34,0.19,0.28,167,12.3,12,0.6,2543243,15259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17.6,0,0,0.2185
613,West Bengal,Jalpaiguri,66.23,20.09,20.81,1303,23.05,4.04,1.17,0.22,0.08,0.1,219,14,26.5,58.9,3872846,2281106,220263,0.0966,0,0,0,0,15561,0.0068,223,0.0001,12512,0.0055,27,0,248586,0.109,30.6,26.1,31.5,17.6,24.6,0.2745,0.2059
515,Tamil Nadu,Virudhunagar,72.69,12.89,38.82,1512,42.17,8.38,2.51,0.27,0.12,0.18,415,7.7,13.3,29.1,1942288,565206,13826,0.0245,8948,0.0158,2307,0.0041,27144,0.048,74,0.0001,0,0,1967,0.0035,54266,0.096,18.9,10.1,30.7,17.6,25.7,0.5224,0.233
32,Arunachal Pradesh,Anjaw,43.71,1.32,10.66,1926,34.21,8.78,3.13,0.34,0.19,0.25,329,13.3,5.1,64.3,21167,13610,10582,0.7775,0,0,0,0,0,0,0,0,0,0,0,0,10583,0.7776,3.8,0,20.7,17.6,10.4,0.3,0
166,Haryana,Mewat,36.6,17.31,23.69,1739,13.7,2.87,0.72,0.26,0.12,0.24,89,4,22.7,47.8,1089263,520668,7525,0.0145,7360,0.0141,26538,0.051,8,0,0,0,80636,0.1549,117,0.0002,122184,0.2347,26.9,0,52.4,17.5,40.2,0.4037,0.1872
118,Daman and Diu,Diu,76.06,0.9,44.6,2077,21.55,4.56,1.28,0.29,0.14,0.15,208,5.6,10.2,5.5,52074,2864,0,0,14,0.0049,497,0.1735,0,0,0,0,1,0.0003,0,0,512,0.1788,0,0,38.4,17.5,31.1,0.2222,0.1667
493,Tamil Nadu,Chennai,86.64,0.52,65.44,3312,11.43,2.33,0.65,0.34,0.19,0.25,67,13.1,10.3,1.9,4646732,88288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17.5,0,0.0047,0.0939
508,Tamil Nadu,Nagapattinam,77.58,38.88,41.51,1623,15.43,2.62,0.64,0.26,0.11,0.19,121,8.6,19.8,34,1616450,549593,166312,0.3026,2,0,0,0,5,0,1,0,0,0,0,0,166320,0.3026,26.4,0,24.3,17.5,22.9,0.4348,0.1756
120,Goa,North Goa,85.6,3.78,64.27,2593,8.88,1.67,0.49,0.27,0.12,0.14,45,8.2,12,6,818008,49080,17327,0.353,0,0,0,0,0,0,0,0,0,0,0,0,17327,0.353,23.2,11.4,22,17.5,23.8,0.1088,0.2033
80,Bihar,Khagaria,49.56,53.04,15.83,1196,35.19,5.09,1.24,0.2,0.07,0.1,336,17.6,29.7,79.8,1666886,1330175,22251,0.0167,0,0,0,0,63534,0.0478,0,0,29336,0.0221,686,0.0005,115807,0.0871,31.5,0,50.3,17.4,42.4,0.5815,0.1499
600,Uttarakhand,Chamoli,72.32,1.88,22.04,1537,8.55,1.4,0.31,0.2,0.06,0.09,38,3.2,14.9,33.9,391605,132754,11451,0.0863,0,0,0,0,235,0.0018,9971,0.0751,14054,0.1059,5704,0.043,41415,0.312,16.5,0,34.1,17.4,22.3,0.2371,0.1892
608,Uttarakhand,Champawat,68.05,3.5,22.02,1514,26.74,5.72,2.23,0.29,0.14,0.19,261,6.1,16.2,42.6,259648,110610,6206,0.0561,0,0,0,0,599,0.0054,4863,0.044,6781,0.0613,950,0.0086,19399,0.1754,21.9,0,30.9,17.4,21.2,0.2991,0.28
587,Uttar Pradesh,Azamgarh,60.91,29.53,36,1116,54.14,8.91,2.35,0.27,0.12,0.29,526,16,23.1,61.1,4613913,2819101,207312,0.0735,8,0,33,0,5903,0.0021,318,0.0001,229030,0.0812,210,0.0001,442814,0.1571,26.6,0,39.6,17.3,33,0.714,0.1649
388,Nagaland,Longleng,69.63,3.91,9.4,1845,11.56,0.52,0.09,0.22,0.08,0.15,68,9.9,13.2,70.1,50484,35389,8110,0.2292,0,0,50,0.0014,3040,0.0859,20,0.0006,0,0,290,0.0082,11510,0.3252,14.6,0,26.1,17.3,17.1,0,0
249,Karnataka,Mysore,67.06,17.3,40.57,2034,12,1.87,0.42,0.33,0.18,0.28,72,8.5,22.2,27.9,3001127,837314,65644,0.0784,4902,0.0059,0,0,45587,0.0544,16616,0.0198,0,0,0,0,132749,0.1585,24.6,11.7,27,17.2,24.9,0.2934,0.2058
200,Jammu and Kashmir,Reasi,46.59,2.55,18.77,,,,,,,,,5.5,12.4,43.1,314667,135621,1126,0.0083,0,0,270,0.002,18531,0.1366,25,0.0002,14232,0.1049,0,0,34184,0.2521,13.5,0,26.4,17.2,22.7,0.5036,0.125
107,Chhattisgarh,Rajnandgaon,66.7,25.79,23.93,975,69.85,19.89,7.67,0.31,0.16,0.26,601,4.9,13.6,54.2,1537133,833126,290276,0.3484,45,0.0001,0,0,6201,0.0074,50,0.0001,19086,0.0229,3842,0.0046,319500,0.3835,0,0,50,17.1,36.6,0.4852,0.1033
12,Andhra Pradesh,Sri Potti Sriramulu Nellore,61.99,32.48,24.86,1925,13.55,2.14,0.59,0.27,0.12,0.19,86,7.9,15,21.1,2963557,625311,204628,0.3272,1569,0.0025,1435,0.0023,923,0.0015,178,0.0003,0,0,12,0,208745,0.3338,18.8,0,30.3,17.1,28.7,0.4367,0.191
416,Odisha,Nayagarh,72.05,33.42,19.88,1015,48.62,11.13,3.5,0.26,0.11,0.2,478,11.1,18.6,55.4,962789,533385,91692,0.1719,0,0,0,0,303,0.0006,16,0,0,0,0,0,92011,0.1725,16.9,0,28.3,17.1,25.4,0.6008,0.2209
438,Punjab,Hoshiarpur,80.31,13.27,55.06,2156,12.94,1.85,0.39,0.26,0.11,0.15,82,2.4,8.6,5.4,1586625,85678,72672,0.8482,0,0,0,0,46435,0.542,0,0,146232,1.7068,0,0,265342,3.097,15,0,26.7,17.1,21.1,0.1719,0.2227
267,Kerala,Alappuzha,94.24,7.34,48.4,2369,11.58,2.39,0.71,0.32,0.17,0.32,69,4.1,9.2,2.1,2127789,44684,31724,0.71,0,0,0,0,0,0,0,0,0,0,0,0,31725,0.71,12.5,12.4,14.8,17,17.2,0.0113,0.157
72,Bihar,Darbhanga,45.24,48.09,20.53,1059,50.98,9.98,3.01,0.2,0.07,0.09,500,17.3,33.9,79.4,3937385,3126284,78608,0.0251,0,0,0,0,14360,0.0046,589,0.0002,59875,0.0192,0,0,153432,0.0491,32.9,0,49.1,16.9,41.1,0.6228,0.1938
407,Odisha,Mayurbhanj,52.71,41.94,19.35,814,69.74,20.48,7.53,0.25,0.1,0.16,600,21.6,35.4,82.4,2519738,2076264,306670,0.1477,0,0,0,0,930,0.0004,0,0,4,0,152,0.0001,307756,0.1482,33.3,0,43.5,16.9,43.8,0.769,0.2885
618,West Bengal,Murshidabad,63.09,31.37,16.88,1211,35.31,6.89,2.1,0.22,0.08,0.13,339,9.8,24.8,60.1,7103807,4269388,382995,0.0897,0,0,0,0,7028,0.0016,0,0,117502,0.0275,0,0,507525,0.1189,23.5,0,43.2,16.9,34.6,0.2202,0.1435
413,Odisha,Jajapur,73.29,32.3,23.43,1152,37.29,7.14,1.97,0.24,0.09,0.14,357,16.9,24.9,55.3,1827192,1010437,105271,0.1042,0,0,0,0,5,0,0,0,0,0,14,0,105290,0.1042,28.4,0,30,16.9,30,0.5725,0.2141
281,Madhya Pradesh,Sagar,67.02,31.01,21.08,1135,56.17,14.82,5.35,0.26,0.11,0.14,541,9.7,25.6,66.8,2378458,1588810,6593,0.0041,1436,0.0009,33,0,2769,0.0017,0,0,243806,0.1535,172,0.0001,254809,0.1604,24.9,0,40.4,16.7,30.5,0.6148,0.1333
431,Puducherry,Yanam,76.35,17.12,28.52,2639,4.61,0.65,0.16,0.32,0.17,0.67,14,11.1,16,5.7,55626,3171,460,0.1451,0,0,0,0,0,0,0,0,0,0,0,0,460,0.1451,11.9,0,33.7,16.7,27.4,0.1481,0.2222
497,Tamil Nadu,Viluppuram,63.15,33.66,36.58,1044,63.56,20.03,7.69,0.27,0.12,0.16,580,10.3,23.3,32.5,3458873,1124134,95560,0.085,858,0.0008,16791,0.0149,14139,0.0126,1227,0.0011,0,0,873,0.0008,129448,0.1152,19.8,0,31.9,16.7,28.6,0.6655,0.1583
419,Odisha,Ganjam,61.13,32.93,22.56,1143,43.8,9.03,2.79,0.27,0.12,0.19,432,9.2,16.6,46.8,3529031,1651587,243692,0.1476,0,0,0,0,459,0.0003,1040,0.0006,0,0,25,0,245216,0.1485,23.1,0,29.9,16.7,21.3,0.5682,0.1849
25,Arunachal Pradesh,Changlang,49.84,5.2,22.43,1539,36.22,10.98,4.16,0.3,0.14,0.17,349,10.8,7,57,148226,84489,17742,0.21,0,0,0,0,0,0,0,0,243,0.0029,0,0,17985,0.2129,9,0,24.7,16.7,20.1,0.0625,0.1538
356,Maharashtra,Sangli,74.59,14.27,42.25,1736,15.1,2.34,0.68,0.24,0.1,0.15,113,7.2,21.4,24.3,2822143,685781,18500,0.027,228100,0.3326,64400,0.0939,17200,0.0251,500,0.0007,22400,0.0327,4500,0.0066,355601,0.5185,24.2,0,23.6,16.6,24.8,0.207,0.1892
639,Telangana,Warangal,51.31,23.32,23.01,1546,20.8,3.36,0.76,0.23,0.09,0.15,196,11,29.8,36.2,3512576,1271553,181073,0.1424,1386,0.0011,10,0,74842,0.0589,0,0,0,0,0,0,257311,0.2024,26.8,0,27,16.5,29.1,0.3832,0.1864
516,Tamil Nadu,Ramanathapuram,73.52,17.72,37.83,1560,27,5.53,1.83,0.25,0.1,0.17,266,4.5,16.1,35.3,1353445,477766,121849,0.255,3230,0.0068,858,0.0018,662,0.0014,152,0.0003,0,0,853,0.0018,127604,0.2671,22.9,10.6,22.7,16.5,22.6,0.4772,0.1742
140,Gujarat,Vadodara,72.03,27.3,43.8,1794,37.71,9.14,2.92,0.33,0.18,0.24,367,9.2,31.4,28.7,4165626,1195535,61400,0.0514,6800,0.0057,11300,0.0095,71900,0.0601,0,0,30100,0.0252,100,0.0001,181600,0.1519,39.7,19.4,44.2,16.4,39.1,0.3144,0.2226
74,Bihar,Gopalganj,54.81,43.15,34.2,1079,38.08,6.99,1.98,0.17,0.05,0.06,373,17.1,25,72.2,2562012,1849773,83020,0.0449,0,0,0,0,11278,0.0061,40,0,77637,0.042,0,0,171975,0.093,25.3,0,37.1,16.4,30.5,0.6635,0.1747
616,West Bengal,Dakshin Dinajpur,67.01,33.38,19.33,1171,41.86,6.95,1.82,0.24,0.1,0.24,411,19.3,28.1,74.2,1676276,1243797,187217,0.1505,0,0,0,0,2165,0.0017,0,0,16005,0.0129,0,0,205387,0.1651,26.9,0,35.7,16.4,28.1,0.3663,0.1239
531,Uttar Pradesh,Moradabad,47.86,22.47,30.3,1202,45.2,10.12,3.69,0.27,0.12,0.16,445,13.4,22.4,37.8,4772006,1803818,96305,0.0534,35,0,2952,0.0016,85,0,0,0,121876,0.0676,0,0,221253,0.1227,28.4,0,46.1,16.3,43.2,0.2162,0.3052
36,Assam,Barpeta,58.06,16.14,20.76,1168,42.56,9.64,2.8,0.21,0.07,0.09,422,11.4,31.2,71.1,1693622,1204165,129792,0.1078,0,0,0,0,154,0.0001,0,0,5214,0.0043,500,0.0004,135660,0.1127,26.6,0,40.8,16.3,33.1,0.1332,0.214
464,Rajasthan,Sawai Madhopur,47.51,12.28,22.75,1392,34.42,6.03,1.54,0.21,0.07,0.08,331,5.8,30.1,57.1,1335551,762600,1632,0.0021,717,0.0009,67182,0.0881,435,0.0006,0,0,85337,0.1119,0,0,155303,0.2036,30.59,0,40.2,16.3,34.4,0.5556,0.3074
537,Uttar Pradesh,Gautam Buddha Nagar,70.82,7.67,65.02,2839,16.31,2.35,0.53,0.47,0.36,0.63,135,9.5,14,10,1648115,164812,27181,0.1649,4673,0.0284,0,0,290,0.0018,0,0,44599,0.2706,4,0,76747,0.4657,14.1,0,33.1,16.3,28.4,0.0724,0.262
500,Tamil Nadu,Erode,64.71,16.91,49.13,2095,20.27,4.36,1.59,0.31,0.16,0.2,190,9.5,13.7,10.8,2251744,243188,695,0.0029,0,0,57,0.0002,14683,0.0604,3290,0.0135,0,0,39,0.0002,18764,0.0772,12.2,9.3,26.4,16.3,16.1,0.2967,0.1455
369,Meghalaya,West Khasi Hills,77.19,17.63,10.49,1313,38.92,7.92,2.16,0.19,0.06,0.07,381,28.8,12.9,55.8,383461,213971,6051,0.0283,0,0,0,0,3092,0.0145,0,0,5,0,270,0.0013,9418,0.044,0,0,52.3,16.2,30.3,0.0268,0.1385
266,Kerala,Kottayam,96.48,7.28,46.21,3110,4.95,0.55,0.11,0.37,0.23,0.61,17,1.2,8,1,1974551,19746,16272,0.8241,0,0,0,0,0,0,0,0,0,0,0,0,16273,0.8241,5.3,0,22.1,16.2,11.3,0.0016,0.1053
63,Bihar,Sitamarhi,42.41,51.86,20.37,863,74.91,20.15,7.31,0.21,0.07,0.1,614,16.9,36.5,86.8,3423574,2971662,96292,0.0324,0,0,0,0,5380,0.0018,49,0,87801,0.0295,0,0,189522,0.0638,34.4,0,57.3,16.1,47.7,0.7197,0.1792
538,Uttar Pradesh,Bulandshahr,55.57,18.51,35.58,1331,31.41,6.44,1.91,0.26,0.11,0.19,301,9.6,15.6,37,3499171,1294693,104927,0.081,25,0,13754,0.0106,38684,0.0299,0,0,200287,0.1547,28,0,357705,0.2763,21.6,0,44.3,16.1,33.8,0.4185,0.2176
254,Karnataka,Chikkaballapura,61.55,20.29,29.96,2781,9.89,1.38,0.31,0.39,0.25,0.48,54,9,21.1,29.9,1255104,375276,1406,0.0037,0,0,40,0.0001,53001,0.1412,43118,0.1149,0,0,93,0.0002,97658,0.2602,26.7,0,38,16.1,28.5,0.4417,0.1716
198,Jammu and Kashmir,Kishtwar,42.36,18.54,14.61,,,,,,,,,1.3,9.1,51.2,230696,118116,1174,0.0099,0,0,0,0,11577,0.098,170,0.0014,2405,0.0204,1574,0.0133,16900,0.1431,13.5,0,29.5,16.1,18.9,0.4,0.2
627,West Bengal,Kolkata,84.06,0.57,49.66,3408,15.17,3,0.87,0.4,0.26,0.43,116,12.6,6.2,8.8,4496694,395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,16.1,0,0.0004,0.0832
439,Punjab,Sangrur,62.17,15.14,52.89,2326,17.14,2.81,0.82,0.35,0.2,0.44,148,5,9.1,3.3,612310,20206,279455,13.8301,0,0,262,0.013,485,0.024,0,0,286231,14.1655,175,0.0087,566636,28.0426,17,0,24.4,16.1,19.2,0.1166,0.1688
248,Karnataka,Kodagu,78.14,3.29,42.8,2292,5.7,0.84,0.21,0.26,0.11,0.16,23,8.1,21.1,18.7,554519,103695,27927,0.2693,0,0,0,0,3862,0.0372,0,0,0,0,0,0,31789,0.3066,20.9,0,31.3,16,25.7,0.0839,0.2
444,Punjab,Muktsar,59.24,29.53,47.67,1817,21.15,4.31,1.14,0.26,0.13,0.37,203,3.4,17.9,7.9,901896,71250,172871,2.4263,0,0,50,0.0007,0,0,0,0,212843,2.9873,0,0,385769,5.4143,16.3,0,31.2,16,22.4,0.0709,0.0992
559,Uttar Pradesh,Kanpur Dehat,66.86,33.42,31.33,1136,32.27,7.15,2.8,0.2,0.07,0.08,307,15,21.7,77.1,1796184,1384858,40569,0.0293,10538,0.0076,21461,0.0155,11387,0.0082,0,0,123803,0.0894,42,0,207800,0.1501,0,0,46.4,15.9,36.1,0.6739,0.2544
447,Punjab,Mansa,55.92,33.83,18.54,1074,64.44,11.78,3.07,0.23,0.09,0.13,583,2.9,16.4,9.8,769751,75436,103025,1.3657,0,0,561,0.0074,42,0.0006,0,0,170914,2.2657,0,0,274546,3.6395,19.3,0,31,15.9,24.9,0.1011,0.2414
4,Andhra Pradesh,Srikakulam,52.08,38.72,18.81,1818,15.36,3.18,0.99,0.27,0.12,0.18,118,9.7,22.7,36.2,2703114,978527,205755,0.2103,23,0,125,0.0001,16562,0.0169,963,0.001,0,0,8,0,223436,0.2283,22.7,0,29.2,15.9,28.7,0.647,0.1276
197,Jammu and Kashmir,Ramban,38.04,9.9,15.14,,,,,,,,,2.3,10.4,62.8,283713,178172,5280,0.0296,0,0,0,0,14681,0.0824,0,0,5416,0.0304,0,0,25377,0.1424,14.8,0,32.6,15.8,18.8,0.4522,0.2258
33,Assam,Kokrajhar,58.27,13.9,20.5,1096,55.92,11.71,3.78,0.23,0.09,0.11,539,17.7,23.9,72.8,887142,645839,107808,0.1669,1165,0.0018,0,0,950,0.0015,0,0,831,0.0013,300,0.0005,111054,0.172,22.3,0,32.5,15.8,27.1,0.3199,0.113
462,Rajasthan,Dhaulpur,54.67,12.99,22.7,1307,44.24,11.4,3.88,0.25,0.1,0.13,438,12.4,31.8,59.1,1206516,713051,489,0.0007,287,0.0004,81992,0.115,0,0,0,0,65844,0.0923,0,0,148612,0.2084,32.23,0,54.4,15.7,39.8,0.6239,0.2844
15,Andhra Pradesh,Anantapur,53.97,26.58,24.47,1450,33.76,7.29,2.37,0.27,0.12,0.24,323,10,23.8,20.9,4081148,852960,22887,0.0268,7090,0.0083,2473,0.0029,18306,0.0215,2325,0.0027,2809,0.0033,0,0,55890,0.0655,24.5,0,41.2,15.7,39.3,0.4748,0.1849
162,Haryana,Jhajjar,70.73,12.59,42.53,2350,4.57,0.52,0.12,0.25,0.1,0.12,13,4.2,11.7,6.9,958405,66130,36867,0.5575,10101,0.1527,35345,0.5345,198,0.003,0,0,110620,1.6728,0,0,193134,2.9205,12.2,0,24,15.7,21,0.0826,0.1646
160,Haryana,Bhiwani,63.54,14.77,35.04,2111,14.22,2.29,0.61,0.27,0.12,0.16,98,5.5,20,8.1,1634445,132390,25000,0.1888,2000,0.0151,52000,0.3928,0,0,0,0,181000,1.3672,0,0,260002,1.9639,23.4,0,35,15.6,26.9,0.1289,0.1846
372,Meghalaya,Jaintia Hills,65.06,18.26,15.8,1426,28.2,5.05,1.33,0.18,0.06,0.08,277,25.9,14.3,47.2,395124,186499,4409,0.0236,0,0,0,0,354,0.0019,0,0,0,0,0,0,4763,0.0255,13.2,0,51.3,15.5,34,0.2752,0.0519
331,Maharashtra,Bhandara,77.08,38.14,28.79,1340,36.16,6.81,1.88,0.24,0.09,0.13,347,16.7,31.7,28,1200334,336094,171900,0.5115,900,0.0027,0,0,100,0.0003,0,0,10600,0.0315,900,0.0027,184401,0.5487,35.9,0,40.5,15.5,32.5,0.1832,0.2337
187,Jammu and Kashmir,Kathua,63.72,10.18,30.37,1884,12.21,2.7,0.93,0.24,0.09,0.11,73,8,13.9,22.4,616435,138081,35913,0.2601,0,0,1454,0.0105,15304,0.1108,0,0,50195,0.3635,32,0.0002,102899,0.7452,16.2,0,31.2,15.5,19.1,0.5376,0.0891
465,Rajasthan,Dausa,59.41,23.94,24.72,1277,36.17,6.97,2.57,0.23,0.08,0.1,348,6.6,27.6,49.9,1634409,815570,0,0,4966,0.0061,149547,0.1834,347,0.0004,0,0,102485,0.1257,0,0,257345,0.3155,30.79,0,33.1,15.4,28.1,0.5643,0.2911
11,Andhra Pradesh,Prakasam,53.11,30.28,23.5,1835,10.99,2.06,0.81,0.24,0.1,0.17,64,8.3,21.5,23.7,3397448,805195,40072,0.0498,10994,0.0137,16964,0.0211,7657,0.0095,943,0.0012,0,0,6788,0.0084,83418,0.1036,17.9,0,28.5,15.4,30.3,0.4302,0.1413
56,Assam,Nalbari,72.57,12.27,32.56,1400,30.4,5.25,1.57,0.26,0.11,0.16,286,13,20.1,57.2,771639,441378,75728,0.1716,0,0,0,0,142,0.0003,0,0,146,0.0003,18,0,76034,0.1723,20.7,0,27.5,15.4,20,0.0873,0.1909
19,Arunachal Pradesh,East Kameng,51.69,2.61,11.96,1606,37.54,12.11,4.85,0.29,0.14,0.19,362,18.6,6.1,63.8,78690,50204,14052,0.2799,0,0,0,0,0,0,0,0,79,0.0016,0,0,14131,0.2815,7.4,0,41.5,15.3,20.5,0.3103,0.1667
435,Punjab,Gurdaspur,60.09,29.43,28.17,2001,19.89,4.11,1.32,0.33,0.19,0.53,188,5.4,11.5,4.9,2298323,112618,175370,1.5572,0,0,1249,0.0111,1012,0.009,0,0,183680,1.631,0,0,361314,3.2083,14.8,0,21.9,15.3,21.1,0.1746,0.1519
3,Andaman and Nicobar Islands,South Andaman,85.57,2.46,43.12,3283,3.73,0.45,0.06,0.33,0.17,0.32,7,4.5,13.4,6.5,238142,15479,2160,0.1395,0,0,0,0,20,0.0013,0,0,0,0,0,0,2180,0.1408,0,0,19.9,15.3,18.5,0.0606,0.1563
8,Andhra Pradesh,West Godavari,71.36,41.58,30.53,2014,10.51,1.98,0.82,0.26,0.12,0.17,62,12.8,17.7,19.7,3936966,775582,399411,0.515,39,0.0001,0,0,58297,0.0752,9,0,0,0,6,0,457763,0.5902,16.3,0,29,15.2,30.1,0.2223,0.2984
