sl,state,district,female_literacy,agricultural_labour,wealth,mpce,poverty_head_ratio,poverty_gap_ratio,Squared_poverty_gap,gini,Log_mean_deviation,theil_index,rank_dist_phc_ratio,sort_ght,bmi_less,percent_ of_ poor,total_population,total_poor_population,rice,per_capita_rice,Jowar,per_capita_jowar,bajra,per_capita_bajra,maize,per_capita_maize,ragi,per_capita_ragi,wheat,per_capita_wheat,Other_cereals_and_millets,per_capita_other_cereal_millet,total_cereals_and_millets,per_capita_total_cereals_millets,bmi_1849_lessthan185,urban,stunted_5,Wasted_5,Underweight_5,Open_defecation ,Low_birth_weight
504,Tamil Nadu,Tiruchirappalli,76.87,17.61,47.43,1995,15.99,3.79,1.2,0.29,0.14,0.17,129,6.6,11.4,19.9,2722290,541736,27068,0.05,21914,0.0405,891,0.0016,11011,0.0203,1,0,0,0,0,0,60885,0.1124,22.3,13.2,29.4,19.3,27.6,0.4032,0.1837
17,Arunachal Pradesh,Tawang,46.53,4.53,22.79,1856,38.83,11.21,4.36,0.37,0.22,0.28,380,8.4,2.1,47.1,49977,23539,3934,0.1671,0,0,0,0,0,0,0,0,679,0.0288,0,0,4613,0.196,3.4,0,18.5,19.3,8.1,0.125,0
573,Uttar Pradesh,Faizabad,59.03,29.7,36.75,1212,57.04,16.35,6.19,0.39,0.25,0.58,546,17.7,28.7,62.3,2470996,1539431,97405,0.0633,1941,0.0013,3,0,2708,0.0018,0,0,107385,0.0698,1,0,209443,0.1361,29.9,0,50.9,19.2,44.9,0.7168,0.1528
102,Chhattisgarh,Raigarh,63.02,37.26,20.25,1045,57.39,12.86,3.81,0.27,0.12,0.2,551,15.5,29.7,65.7,1493984,981547,243089,0.2477,3,0,8,0,887,0.0009,0,0,2783,0.0028,104,0.0001,246874,0.2515,0,0,40.9,19.2,37.1,0.6429,0.145
507,Tamil Nadu,Cuddalore,70.14,34.07,43.04,1312,50.73,11.16,3.52,0.27,0.12,0.18,496,8.2,16.3,37.8,2605914,985035,131906,0.1339,13,0,4243,0.0043,20558,0.0209,159,0.0002,0,0,1202,0.0012,158081,0.1605,22.8,12.8,28,19.2,25,0.572,0.1783
246,Karnataka,Hassan,68.6,12.05,37.07,1412,8.7,1.21,0.27,0.18,0.06,0.08,41,1.9,14.5,24.8,1776421,440552,26100,0.0592,478,0.0011,0,0,90145,0.2046,64145,0.1456,0,0,202,0.0005,181070,0.411,20.7,0,26.7,19.2,26.4,0.2556,0.1595
64,Bihar,Madhubani,46.16,48.14,22.51,1112,41.81,11.39,4.7,0.25,0.11,0.12,410,17.9,31,84.3,4487379,3782860,206622,0.0546,0,0,0,0,86,0,63,0,92165,0.0244,0,0,298936,0.079,32.7,0,51.6,19.1,45.4,0.7604,0.1169
575,Uttar Pradesh,Sultanpur,58.28,36.31,35.63,1240,37.48,9.71,3.45,0.31,0.17,0.38,360,19.3,25.5,68.2,3797117,2589634,97523,0.0377,5038,0.0019,146,0.0001,4461,0.0017,1,0,107774,0.0416,10,0,214953,0.083,30.4,0,45.1,19.1,39.8,0.8081,0.1282
28,Arunachal Pradesh,Kurung Kumey,42.64,6.44,8.25,1469,30.59,6.52,2.03,0.23,0.08,0.1,289,16.6,4.7,60.9,92076,56074,2263,0.0404,0,0,0,0,0,0,0,0,0,0,0,0,2263,0.0404,3.4,0,40.3,19.1,26.1,0.2059,0
534,Uttar Pradesh,Meerut,63.98,12.56,45.42,2658,22.65,4.51,1.35,0.46,0.34,0.69,216,10.2,13.6,13.7,3443689,471785,17391,0.0369,0,0,23,0,346,0.0007,0,0,76557,0.1623,0,0,94317,0.1999,18.8,0,35.4,19.1,35.2,0.0789,0.2601
